company_id,symbol_short,company_name_api,report_count
341,ALLI,ALLIANCE FINANCE COMPANY PLC,73
364,AAIC,SOFTLOGIC LIFE INSURANCE PLC,63
362,ARPI,ARPICO FINANCE COMPANY PLC,35
368,CSF,NATION LANKA FINANCE PLC,66
375,HASU,HNB LIFE  PLC,58
373,HNB,HATTON NATIONAL BANK PLC,71
363,ACAP,ASIA CAPITAL PLC,58
361,ATL,AMANA TAKAFUL  PLC,57
376,HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,63
367,CINS,CEYLINCO HOLDINGS PLC,69
377,LVEN,LANKA VENTURES PLC,56
378,LOLC,LOLC HOLDINGS PLC,63
369,COMB,COMMERCIAL BANK OF CEYLON PLC,83
366,CFIN,CENTRAL FINANCE COMPANY PLC,63
374,ECL,E-CHANNELLING PLC,56
371,DFCC,DFCC BANK PLC,89
379,LFIN,L B FINANCE PLC,60
372,CTCE,AIA INSURANCE LANKA PLC,32
380,MBSL,MERCHANT BANK OF SRI LANKA & FINANCE PLC,71
387,NTB,NATIONS TRUST BANK PLC,63
386,NDB,NATIONAL DEVELOPMENT BANK PLC,77
388,PABC,PAN ASIA BANKING CORPORATION PLC,59
402,CLPL,CEYLON LEATHER PRODUCTS PLC,17
401,ASCO,LANKA REALTY INVESTMENTS PLC,58
389,DIAL,DIALOG AXIATA PLC,104
405,PMB,PMF FINANCE PLC,68
403,MGT,HAYLEYS FABRIC PLC,62
390,SLTL,SRI LANKA TELECOM PLC,60
452,BFL,BAIRAHA FARMS PLC,56
449,TFC,THE FINANCE COMPANY PLC,30
431,SAMP,SAMPATH BANK PLC,74
456,BUKI,BUKIT DARAH PLC,57
455,VLL,VIDULLANKA PLC,67
443,SEYB,SEYLAN BANK PLC,75
457,CARG,CARGILLS (CEYLON) PLC,57
458,BREW,CEYLON BEVERAGE HOLDINGS PLC,60
454,VPEL,VALLIBEL POWER ERATHNA PLC,57
450,UAL,UNION ASSURANCE PLC,57
442,DOCK,COLOMBO DOCKYARD PLC,60
444,KAPI,MTD WALKERS PLC,36
441,SFCL,SENKADAGALA FINANCE PLC,73
446,LDEV,LANKEM DEVELOPMENTS PLC,56
459,GOOD,GOOD HOPE  PLC,45
445,SEMB,SMB FINANCE PLC,61
460,CTC,CEYLON TOBACCO COMPANY PLC,58
463,DIST,DISTILLERIES COMPANY OF SRI LANKA PLC,57
462,CCS,CEYLON COLD STORES PLC,60
461,COCO,RENUKA FOODS PLC,56
483,KFP,KEELLS FOOD PRODUCTS PLC,59
482,HARI,HARISCHANDRA MILLS PLC,56
491,TAFL,THREE ACRE FARMS PLC,58
484,LAMB,KOTMALE HOLDINGS PLC,56
488,SOY,CONVENIENCE  FOODS (LANKA )PLC,66
490,TSML,TEA SMALLHOLDER FACTORIES PLC,60
485,LION,LION BREWERY CEYLON PLC,61
486,LMF,LANKA MILK FOODS (CWE) PLC,57
487,NEST,NESTLE LANKA PLC,46
494,HAYC,HAYCARB PLC,81
492,CHMX,CHEMANEX PLC,58
489,CTEA,DILMAH CEYLON TEA COMPANY PLC,61
495,ASPH,INDUSTRIAL ASPHALTS (CEYLON) PLC,57
493,CIC,CIC HOLDINGS PLC,57
496,MORI,MORISON PLC,29
499,SING,STANDARD CAPITAL PLC,55
498,LITE,LAXAPANA PLC,57
497,LCEY,LANKEM CEYLON PLC,56
500,UCAR,UNION CHEMICALS LANKA PLC,57
502,CARS,CARSON CUMBERBATCH PLC,56
503,CTHR,C T HOLDINGS PLC,57
501,SPEN,AITKEN SPENCE PLC,57
510,SUN,SUNSHINE HOLDINGS PLC,63
509,RICH,RICHARD PIERIS AND COMPANY PLC,58
507,JFIN,FINLAYS COLOMBO PLC,8
506,HHL,HEMAS HOLDINGS PLC,57
508,JKH,JOHN KEELLS HOLDINGS PLC,61
504,CFLB,THE COLOMBO FORT LAND & BUILDING PLC,58
505,HAYL,HAYLEYS PLC,99
512,ASIR,ASIRI HOSPITAL HOLDINGS PLC,57
516,LHCL,THE LANKA HOSPITALS CORPORATION PLC,58
513,AMSL,ASIRI  SURGICAL HOSPITAL PLC,58
514,CHL,CEYLON HOSPITALS PLC (DURDANS),56
529,PALM,PALM GARDEN HOTELS PLC,56
533,EDEN,EDEN HOTEL LANKA PLC,56
521,AHUN,AITKEN SPENCE HOTEL HOLDINGS PLC,57
525,BBH,BROWNS BEACH HOTELS PLC,58
532,CONN,HAYLEYS LEISURE  PLC,56
534,RHTL,THE FORTRESS RESORTS PLC,58
541,GHLL,GALADARI HOTELS (LANKA) PLC,57
542,HDEV,HOTEL DEVELOPERS (LANKA) PLC,27
543,SERV,THE KINGSBURY PLC,57
544,HSIG,HOTEL SIGIRIYA PLC,59
545,CHOT,CEYLON HOTELS CORPORATION PLC,58
546,HUNA,HUNAS HOLDINGS PLC,58
547,KHC,THE KANDY HOTELS COMPANY (1938) PLC,58
562,LHL,THE LIGHTHOUSE HOTEL PLC,57
563,MRH,MAHAWELI REACH HOTELS PLC,60
561,KHL,JOHN KEELLS HOTELS PLC,60
565,MIRA,MIRAMAR BEACH HOTEL PLC,2
566,NEH,THE NUWARA ELIYA HOTELS COMPANY PLC,57
567,PEG,PEGASUS HOTELS OF CEYLON PLC,56
564,MARA,MARAWILA RESORTS PLC,58
568,REEF,CITRUS LEISURE  PLC,58
569,RENU,RENUKA CITY HOTEL PLC,56
581,RPBH,ROYAL PALMS BEACH HOTELS PLC,59
603,STAF,DOLPHIN HOTELS PLC,58
605,TANG,TANGERINE BEACH HOTELS PLC,59
607,GUAR,CEYLON GUARDIAN INVESTMENT TRUST PLC,56
609,CFI,COLOMBO FORT INVESTMENTS PLC,56
602,SIGV,SIGIRIYA VILLAGE HOTELS PLC,57
608,CINV,CEYLON INVESTMENT PLC,57
610,CIT,COLOMBO INVESTMENT TRUST PLC,57
601,SHOT,SERENDIB HOTELS PLC,57
604,TAJ,TAL LANKA HOTELS PLC,61
606,TRAN,TRANS ASIA HOTELS PLC,60
612,WAPO,GALLE FACE CAPITAL PARTNERS PLC,59
611,CSEC,JANASHAKTHI PLC,26
614,CTLD,C T LAND DEVELOPMENT PLC,60
615,CABO,CARGO BOAT DEVELOPMENT COMPANY PLC,58
619,COMD,COMMERCIAL DEVELOPMENT COMPANY PLC,57
617,CSD,SEYLAN DEVELOPMENTS PLC,60
618,CLND,COLOMBO LAND & DEVELOPMENT COMPANY PLC,59
616,CHOU,CITY HOUSING & REAL ESTATE CO. PLC,24
628,OSEA,OVERSEAS REALTY (CEYLON) PLC,59
624,IDL,SERENDIB ENGINEERING GROUP PLC,56
620,EAST,EAST WEST PROPERTIES PLC,60
622,EQIT,EQUITY ONE PLC,9
625,KDL,KELSEY DEVELOPMENTS PLC,53
632,SHAW,LEE HEDGES PLC,57
623,HUEJ,HUEJAY INTERNATIONAL INVESTMENTS PLC,37
621,ETWO,EQUITY TWO PLC,56
627,ONAL,ON ALLY HOLDINGS PLC,63
630,SLND,SERENDIB LAND PLC,56
641,YORK,YORK ARCADE HOLDINGS PLC,57
629,PDL,PROPERTY DEVELOPMENT PLC,47
644,ACL,ACL CABLES PLC,56
642,ABAN,ABANS ELECTRICALS PLC,56
643,APLA,ACL PLASTICS PLC,57
669,DPL,DANKOTUWA PORCELAIN PLC,59
665,CIND,CENTRAL INDUSTRIES PLC,56
672,KCAB,KELANI CABLES PLC,59
668,LLUB,CHEVRON LUBRICANTS LANKA PLC,58
673,TYRE,KELANI TYRES PLC,63
670,DIPD,DIPPED PRODUCTS PLC,77
663,BLUE,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,57
675,LCEM,LANKA CEMENT PLC,13
664,BOGA,BOGALA GRAPHITE LANKA PLC,57
671,GRAN,CEYLON GRAIN ELEVATORS PLC,57
679,PARQ,SWISSTEK (CEYLON) PLC,57
661,ACME,ACME PRINTING & PACKAGING PLC,56
666,GLAS,PGP GLASS CEYLON PLC,91
678,LWL,LANKA WALLTILES PLC,56
677,TILE,LANKA TILES PLC,56
674,LALU,LANKA ALUMINIUM INDUSTRIES PLC,56
676,CERA,LANKA CERAMIC PLC,56
681,CARE,PRINTCARE  PLC,56
682,REG,REGNIS(LANKA) PLC,46
686,SINI,SINGER INDUSTRIES (CEYLON) PLC,46
685,SIRA,SIERRA CABLES PLC,59
687,SWAD,SWADESHI INDUSTRIAL WORKS PLC,58
684,SIL,SAMSON INTERNATIONAL PLC,57
689,ALUF,UNISYST ENGINEERING PLC,48
683,RCL,ROYAL CERAMICS LANKA PLC,56
701,INDO,INDO MALAY  PLC,45
688,TKYO,TOKYO CEMENT COMPANY (LANKA) PLC,63
690,AHPL,ASIAN HOTELS & PROPERTIES PLC,62
702,SELI,SELINSING  PLC,47
693,COLO,C M HOLDINGS PLC,56
695,ASHO,LANKA ASHOK LEYLAND PLC,59
703,SHAL,SHALIMAR (MALAY)  PLC,45
706,BOPL,BOGAWANTALAWA TEA ESTATES PLC,58
696,SMOT,SATHOSA MOTORS PLC,61
704,AGAL,AGALAWATTE PLANTATIONS PLC,59
697,UML,UNITED MOTORS LANKA PLC,58
694,DIMO,DIESEL & MOTOR ENGINEERING PLC,67
709,HOPL,HORANA PLANTATIONS PLC,56
698,CFVF,FIRST CAPITAL HOLDINGS PLC,59
707,ELPL,ELPITIYA PLANTATIONS PLC,57
705,BALA,BALANGODA PLANTATIONS PLC,59
712,KVAL,KELANI VALLEY PLANTATIONS PLC,56
711,KGAL,KEGALLE PLANTATIONS PLC,56
708,HAPU,HAPUGASTENNE PLANTATIONS PLC,56
710,KAHA,KAHAWATTE PLANTATIONS PLC,56
692,AUTO,THE AUTODROME PLC,60
713,KOTA,KOTAGALA PLANTATIONS PLC,59
722,MAL,MALWATTE VALLEY PLANTATIONS PLC,60
729,LIOC,LANKA IOC PLC,69
732,KZOO,CEYLON LAND & EQUITY PLC,59
731,JKL,JOHN KEELLS PLC,63
723,MASK,MASKELIYA PLANTATIONS PLC,56
727,UDPL,UDAPUSSELLAWA PLANTATIONS PLC,56
726,TPL,TALAWAKELLE TEA ESTATES  PLC,56
730,CPRT,KERNER HAUS GLOBAL SOLUTIONS PLC,60
741,LPRT,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,58
724,MPRH,METROPOLITAN RESOURCE HOLDINGS PLC,11
721,MADU,MADULSIMA PLANTATIONS PLC,61
728,WATA,WATAWALA PLANTATIONS PLC,56
725,NAMU,NAMUNUKULA PLANTATIONS PLC,56
742,MSL,MERCANTILE SHIPPING COMPANY PLC,56
743,PARA,PARAGON CEYLON PLC,60
746,GEST,GESTETNER OF CEYLON PLC,56
745,EBCR,E B CREASY & COMPANY PLC,59
744,PHAR,COLOMBO CITY HOLDINGS PLC,60
747,HUNT,HUNTERS & COMPANY PLC,57
770,RGEM,RADIANT GEMS INTERNATIONAL PLC,61
766,CFT,CEYLON & FOREIGN TRADES PLC,19
763,MULL,MULLER AND PHIPPS (CEYLON) PLC,57
769,OFEQ,OFFICE EQUIPMENT PLC,60
768,HEXP,HAYLEYS FIBRE PLC,56
772,SINS,SINGER (SRI LANKA) PLC,73
764,BRWN,BROWN & COMPANY PLC,58
765,CWM,C. W. MACKIE PLC,57
767,EMER,EASTERN MERCHANTS PLC,56
771,REXP,RICHARD PIERIS EXPORTS PLC,56
781,TESS,TESS AGRO PLC,60
782,GREG,AMBEON HOLDINGS PLC,62
821,RHL,RENUKA HOLDINGS PLC,58
841,JINS,JANASHAKTHI INSURANCE PLC,62
861,BOC,BANK OF CEYLON,80
863,CRL,SOFTLOGIC FINANCE PLC,69
881,HPWR,RESUS ENERGY PLC,66
882,NAVF,NAMAL ACUITY VALUE FUND,25
901,RAL,RENUKA AGRI FOODS PLC,56
923,CTBL,CEYLON TEA BROKERS PLC,57
949,VFIN,VALLIBEL FINANCE PLC,61
950,SFL,SINHAPUTHRA FINANCE PLC,46
948,RWSL,RAIGAM WAYAMBA SALTERNS PLC,56
960,ODEL,ODEL PLC,57
961,PCH,PC HOUSE PLC,6
981,CDB,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,72
982,UDA,URBAN DEVELOPMENT AUTHORITY,5
980,NHL,NAWALOKA HOSPITALS PLC,60
1000,HPFL,LOTUS HYDRO POWER PLC,56
1020,LGL,LAUGFS GAS PLC,60
1048,FLCH,BROWNS CAPITAL PLC,22
1040,PAP,PANASIAN POWER PLC,57
1046,HVA,HVA FOODS PLC,58
1041,SFIN,SINGER FINANCE (LANKA) PLC,67
1045,HPL,HATTON PLANTATIONS PLC,44
1047,UBC,UNION BANK OF COLOMBO PLC,64
1064,MERC,MERCANTILE INVESTMENTS AND FINANCE PLC,60
1061,SFS,SWARNAMAHAL FINANCIAL SERVICES PLC,33
1060,CFL,CHILAW FINANCE PLC,14
1067,BLI,BIMPUTH LANKA INVESTMENTS PLC,55
1062,MFL,MULTI FINANCE PLC,58
1065,AMCL,AMW CAPITAL LEASING AND FINANCE PLC,68
1066,EXPO,EXPOLANKA HOLDINGS PLC,50
1068,AMF,ASSOCIATED MOTOR FINANCE COMPANY PLC,71
1063,COCR,COMMERCIAL CREDIT AND FINANCE PLC,76
1071,OGL,ORIENT GARMENTS PLC,4
1077,BIL,BROWNS INVESTMENTS PLC,59
1069,AFSL,ABANS FINANCE PLC,71
1080,TJL,TEEJAY LANKA PLC,57
1072,BFN,JANASHAKTHI FINANCE PLC,79
1075,SHL,SOFTLOGIC HOLDINGS PLC,62
1076,NIFL,LOLC DEVELOPMENT FINANCE PLC,49
1074,VONE,VALLIBEL ONE PLC,60
1083,CIFL,CENTRAL INVESTMENTS & FINANCE PLC,1
1073,LOFC,LOLC FINANCE PLC,78
1103,PLC,PEOPLE'S LEASING & FINANCE PLC,69
1100,SCAP,SOFTLOGIC CAPITAL PLC,64
1104,DVBD,DFCC VARDHANA BANK PLC,6
1102,TFIL,TRADE FINANCE & INVESTMENTS PLC,39
1101,CALF,DIALOG FINANCE PLC,70
1105,ESL,ENTRUST SECURITIES PLC,23
1109,PCP,PC PHARMA PLC,6
1106,CITW,WASKADUWA BEACH RESORT PLC,59
1107,CITK,KALPITIYA BEACH RESORT PLC,18
1108,AAF,ASIA ASSET FINANCE PLC,77
1121,AGST,AGSTAR PLC,59
1141,AEL,ACCESS ENGINEERING PLC,61
1161,MEL,GREENTECH ENERGY PLC,56
1185,RFL,RAMBODA FALLS PLC,57
1195,PCHH,ADAM CAPITAL PLC,22
1184,ORIN,ORIENT FINANCE PLC REMOVED,5
1183,CLC,COMMERCIAL LEASING & FINANCE PLC,46
1182,SDB,SANASA DEVELOPMENT BANK PLC,73
1181,TAP,AMBEON CAPITAL PLC,61
1201,BERU,BERUWALA RESORTS PLC,56
1205,ASIY,ASIA SIYAKA COMMODITIES PLC,64
1204,GSF,PRIME FINANCE PLC,45
1222,CITH,HIKKADUWA BEACH RESORT PLC,62
1267,ASPM,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,47
1283,ALHP,ANILANA HOTELS AND PROPERTIES PLC,64
1304,MHDL,MILLENNIUM HOUSING DEVELOPERS PLC,62
1303,ABL,AMANA BANK PLC,57
1302,ABNS,ABANS PLC,65
1323,ALUM,ALUMEX PLC,57
1322,BRR,BANSEI ROYAL RESORTS HIKKADUWA PLC,57
1345,AINV,ADAM INVESTMENTS PLC,20
1365,LLMP,LUCKY LANKA MILK PROCESSING COMPANY PLC,36
1402,JANA,JANASHAKTHI PLC,35
1405,AINS,ARPICO INSURANCE PLC,62
1404,SLFL,SIYAPATHA FINANCE PLC,89
1422,RDB,PRADESHIYA SANWARDANA BANK,32
1426,FCT,FIRST CAPITAL TREASURIES PLC,66
1444,SINH,SINGHE HOSPITALS PLC,58
1464,COF,SENFIN SECURITIES LIMITED,26
1465,PINS,PEOPLE'S INSURANCE PLC,54
1484,ATLL,AMANA TAKAFUL LIFE PLC,48
1524,BPPL,B P P L HOLDINGS PLC,53
1507,MELS,MELSTACORP PLC,54
1544,RIL,R I L PROPERTY PLC,49
1631,RCH,RENUKA HOTELS PLC,45
1686,JETS,JETWING SYMPHONY PLC,51
1707,LVEF,LVL ENERGY FUND PLC,47
1907,MCPL,MAHAWELI COCONUT PLANTATIONS PLC,36
1930,LPL,LAUGFS POWER PLC,39
1992,HNBF,HNB FINANCE PLC,44
2173,WIND,WINDFORCE PLC,30
2216,CEB,CEYLON ELECTRICITY BOARD,30
2236,CWL,CHRISSWORLD PLC,29
2279,PLR,PRIME LANDS RESIDENCIES PLC,37
2353,JAT,JAT HOLDINGS PLC,27
2352,SIC,SANASA LIFE INSURANCE COMPANY PLC,35
2386,EML,E M L CONSULTANTS PLC,24
2442,LOCH,LOLC CEYLON HOLDINGS PLC,12
2512,LCBF,LANKA CREDIT AND BUSINESS FINANCE PLC,31
2511,PACK,EX-PACK CORRUGATED CARTONS PLC,29
2567,SDF,SARVODAYA DEVELOPMENT FINANCE PLC,27
2647,CALT,CAPITAL ALLIANCE PLC,30
2652,HBS,HSENID BUSINESS SOLUTIONS PLC,25
2672,MDL,MYLAND DEVELOPMENTS PLC,25
2692,COOP,CO-OPERATIVE INSURANCE COMPANY PLC,34
2693,LGIL,LOLC GENERAL INSURANCE PLC,32
2714,KPHL,KAPRUKA HOLDINGS PLC,23
2727,HELA,HELA APPAREL HOLDINGS PLC,28
2741,EXT,EXTERMINATORS PLC,27
2774,AFS,ALPHA FIRE SERVICES PLC,20
2790,LUMX,LUMINEX PLC,28
2998,UBF,UB FINANCE PLC,19
